,aktual,Prediksi
66,1759059.0,1558284.7466556057
133,579635.0,587798.9261284769
214,1646900.0,1540179.805862844
186,396977.0,193818.2698410228
23,2180754.0,1559910.6659307405
198,484900.0,556746.547804527
167,2971286.0,3273811.4787197337
119,269836.65,626220.2519923523
71,1907390.0,1840565.3435875848
200,516869.0,638645.5420930237
197,470469.0,510500.22497639805
229,2341075.0,2310312.747176446
104,490087.0,590038.5640996546
113,325826.0,496499.7347955704
105,494260.0,619263.9587664306
35,3212208.0,3324110.104880765
4,1368074.0,1232877.536128454
152,1409559.0,1547946.4269571602
232,2940795.0,2861880.5502285063
24,2478922.0,1599400.3838269264
166,2753044.0,3116970.8459137455
175,4881089.0,3014545.5657707453
201,502552.0,643761.6878587157
220,1801422.0,1916852.628143929
228,2308404.0,2359148.6110690683
93,461905.0,300270.6270888522
137,644947.0,703485.9460706264
30,1907642.0,1941785.6633432657
150,457829.5,797764.178576842
57,2078901.59,2150119.623372726
84,1483076.48,1671205.7844596207
176,4807430.0,3078443.38902127
221,1946406.0,2024447.5841217935
136,581704.0,619731.7328544706
196,378377.0,377425.38596541435
143,541486.0,718077.6675978452
170,3384670.0,3664684.2593378574
216,1943709.0,1976632.5997796804
43,3447394.0,3662010.0489486754
116,230873.97,540448.797367692
204,593194.0,816886.0284575298
121,607529.0,457790.3988843635
28,1704646.77,1791497.144345954
236,3641895.0,3442010.423138477
148,374376.27,693814.3932882994
37,3451430.0,3572554.443860203
27,1861567.1,1801979.174888879
233,3101455.0,3053370.373336762
47,3527899.0,3524451.6290626675
102,424095.0,477334.5889530182
222,1992726.0,2083499.1739327013
94,416135.0,268488.62110744417
207,714017.0,600734.8202559277
155,1666591.0,1895481.9911878258
48,3582302.0,3488185.472755283
117,269344.05,583435.103988573
235,3320064.0,3149548.309004724
182,3562837.0,3902033.699175827
14,1556858.0,1625124.6943892837
217,1971740.0,2010122.5247123092
212,316527.0,729462.1875726432
